2025-10-16 19:39:53,957 | [2025-10-16 19:39:53.243] Text: Incredible performances by the | Result: positive | Q:False | Latency: 712.39ms
2025-10-16 19:39:54,028 | [2025-10-16 19:39:53.244] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 782.70ms
2025-10-16 19:39:54,102 | [2025-10-16 19:39:53.244] Text: The acting was strong, but the | Result: negative | Q:False | Latency: 857.36ms
2025-10-16 19:39:54,163 | [2025-10-16 19:39:53.239] Text: Good ideas, but the execution  | Result: negative | Q:False | Latency: 924.15ms
2025-10-16 19:39:54,228 | [2025-10-16 19:39:53.241] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 987.14ms
2025-10-16 19:39:54,279 | [2025-10-16 19:39:53.238] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 1040.91ms
2025-10-16 19:39:54,330 | [2025-10-16 19:39:53.240] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 1089.68ms
2025-10-16 19:39:54,394 | [2025-10-16 19:39:53.244] Text: A solid film with great charac | Result: positive | Q:False | Latency: 1149.38ms
2025-10-16 19:39:54,462 | [2025-10-16 19:39:53.241] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 1220.54ms
2025-10-16 19:39:54,526 | [2025-10-16 19:39:53.240] Text: A flawed but fascinating film  | Result: positive | Q:False | Latency: 1285.43ms
2025-10-16 19:39:54,574 | [2025-10-16 19:39:53.241] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 1332.52ms
2025-10-16 19:39:54,640 | [2025-10-16 19:39:53.240] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 1400.00ms
2025-10-16 19:39:54,696 | [2025-10-16 19:39:53.240] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 1454.90ms
2025-10-16 19:39:54,760 | [2025-10-16 19:39:53.249] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 1511.24ms
2025-10-16 19:39:54,825 | [2025-10-16 19:39:53.242] Text: Good ideas, but the execution  | Result: negative | Q:False | Latency: 1583.02ms
2025-10-16 19:39:54,891 | [2025-10-16 19:39:53.252] Text: A moving story told with hones | Result: positive | Q:False | Latency: 1637.90ms
2025-10-16 19:39:54,943 | [2025-10-16 19:39:53.242] Text: Heartwarming and funny. Remind | Result: positive | Q:False | Latency: 1700.28ms
